"Daily Invoicing Report",3/12/10,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,
,,,,,,,,
,,,,,,,,
"Posting Date: 07/01/09..02/28/10, Location Code: MAIN",,,,,,,,
"Invoice Number","Invoice Date","Bill-to Agency No.","Name","Agency County","Shipment Method Code","Shipping Agent Code","Gross Weight","Amount Including Tax"
"G09-02353-1",10/7/09,1686,"Extended Hands","CRAVEN","I-SHP","PKUP",1231,196.34
"R09-06823-1",10/7/09,1311,"North Haven Church","WAKE","I-SHP","PKUP",1372,105.5
"R09-06843-1",10/7/09,1396,"Milagros y Maravillas de Dios","JOHNSTON","I-SHP","PKUP",1522,233.62
"S09-02382-1",10/7/09,1335,"Laurinburg Hope In Christ","SCOTLAND","I-DEL","BRN",1646,0
"D09-03285-1",10/7/09,838,"Word of Life Christian Center","PERSON","I-SHP","PKUP",1670,219.72
"W09-01484-1",10/7/09,"WL215","Bethany Presbyterian Church","NEWHANOVER","I-SHP","PKUP",1968,42.43
"W09-01491-1",10/7/09,"WL281","South Brunswick Inter-Church","BRUNSWICK","I-SHP","PKUP",1974,251.12
"R09-06781-1",10/7/09,236,"Tarboro Community Outreach","EDGECOMBE","I-TEFR","FBNC",2204,0
"R09-06840-1",10/7/09,1339,"Franklin County Volunteers in","FRANKLIN","I-SHP","PKUP",2218,138.1
"R09-06810-1",10/7/09,1304,"Deliverance Church","HARNETT","I-SHP","PKUP",2269,35.46
"S09-02361-1",10/7/09,1532,"Helping Hands of Hamlet","RICHMOND","I-TEFB","PKUP",2287,0
"R09-06837-1",10/7/09,814,"New Trinity Christian Family","JOHNSTON","I-TEFR","PKUP",2443,0
"W09-01481-1",10/7/09,"DI021","Direct Dist. -- New Hanover","NEWHANOVER","I-PKUP","PKUP",2796,0
"W09-01486-1",10/7/09,"WL390","Pleasant Grove","BRUNSWICK","I-SHP","PKUP",3096,476.64
"R09-06809-1",10/7/09,1472,"Emmanuel Hispanic Pentecostal","WAKE","I-SHP","PKUP",3101,259.38
"W09-01490-1",10/7/09,"WL356","Love of Christ Ministries","BRUNSWICK","I-SHP","PKUP",3120,288.98
"R09-06816-1",10/7/09,848,"Community Helpers Service","WAKE","I-SHP","PKUP",3495,0
"G09-02352-1",10/7/09,1220,"Greene County Interfaith","GREENE","I-SHP","PKUP",3864,1273.86
"S09-02380-1",10/7/09,1335,"Laurinburg Hope In Christ","SCOTLAND","I-TEFB","PKUP",4199,0
"W09-01485-1",10/7/09,"WL374","Harvest Table","COLUMBUS","I-SHP","PKUP",4378,174.24
"R09-06834-1",10/7/09,"DI060","Ivory Hill Baptist Church","HALIFAX","I-DEL","PKUP",4641,0
"S09-02455-1",10/7/09,470,"Montgomery Churches in Action/","MONTGOMERY","I-SHP","PKUP",4834,91.08
"R09-07502-1",10/7/09,1053,"St. James Missionary Baptist","EDGECOMBE","I-TEFR","FBNC",5009,0
"R09-06817-1",10/7/09,1402,"Jackson Grove Bible Church of","SAMPSON","I-DLS","FBNC",5070,0
"G09-02340-1",10/7/09,1569,"St. Peter the Fisherman","PAMLICO","I-MFP","MFP",5526,0
"D09-03290-1",10/7/09,"DI052","Bright Sun","ORANGE","I-DEL","BRN",5638,0
"G09-02339-1",10/7/09,900,"Youth Vision","CRAVEN","I-MFP","MFP",6068,0
"R09-06818-1",10/7/09,12,"Catholic Parish Outreach","WAKE","I-SHP","PKUP",6413,921.64
"R09-06804-1",10/7/09,877,"Loaves and Fishes","WARREN","I-DLS","FBNC",7212,0
"R09-06767-1",10/7/09,419,"New Jerusalem Pentecostal","EDGECOMBE","I-TEFR","FBNC",10131,0
"S09-02378-1",10/7/09,549,"Missions Ministries","SCOTLAND","I-DEL","CTL",29600,0
"R09-07497-1",10/7/09,"FB108","Food Bank of Northeast LA",,"I-FBD","CTD",38756,0
"R09-06860-1",10/8/09,1156,"Child Evangelism Fellowship",,"I-SHP","PKUP",0,0
"G09-02357-1",10/8/09,125,"St. Timothy Community","WILSON","I-SHP","PKUP",24,0
"D09-03312-1",10/8/09,1533,"Achievement Academy of Durham","DURHAM","I-SHP","PKUP",39,6.12
"W09-01500-1",10/8/09,"WL297","Upper Room Praise &","NEWHANOVER","I-SHP","PKUP",45,8.1
"S09-02401-1",10/8/09,181,"Pinebluff United Methodist Men","MOORE","I-SHP","PKUP",71,3.24
"R09-06869-1",10/8/09,1112,"Transplant Recipient","WAKE","I-SHP","PKUP",74,9.72
"S09-02404-1",10/8/09,1237,"The Arc of Moore, Inc.","MOORE","I-SHP","PKUP",78,12.24
"R09-06853-1",10/8/09,617,"Inter-Community Council -","WAKE","I-SHP","PKUP",94,0
"S09-02390-1",10/8/09,178,"Sandhills Children's Center","MOORE","I-SHP","PKUP",95,0
"W09-01496-1",10/8/09,"WL269","Brunswick Island Baptist","BRUNSWICK","I-SHP","PKUP",100,0
"D09-03314-1",10/8/09,614,"Friends of Orange County DSS","ORANGE","I-SHP","PKUP",102,14.06
"S09-02391-1",10/8/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",113,11.34
"D09-03302-1",10/8/09,765,"Mt. Zion Christian Church/","VANCE","I-SHP","PKUP",118,19.72
"G09-02364-1",10/8/09,113,"Holy Mission Church of God","EDGECOMBE","I-SHP","PKUP",120,21.6
"D09-03308-1",10/8/09,776,"salvation boys and girls club","DURHAM","I-SHP","PKUP",128,23.04
"S09-02399-1",10/8/09,72,"RHA Health Services, Inc. -","SCOTLAND","I-SHP","PKUP",137,0.9
"D09-03307-1",10/8/09,228,"Salvation Army-Durham","DURHAM","I-SHP","PKUP",144,63.1
"S09-02397-1",10/8/09,1378,"Pinetree Community Services","RICHMOND","I-SHP","PKUP",149,15.48
"D09-03313-1",10/8/09,212,"Orange Congregations Mission","ORANGE","I-SHP","PKUP",156,22.48
"G09-02359-1",10/8/09,1333,"Operation Sunshine, Inc","PITT","I-SHP","PKUP",173,31.14
"S09-02395-1",10/8/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",182,12.24
"R09-06847-1",10/8/09,467,"Christian Fellowship Home-","WAKE","I-SHP","PKUP",203,11.88
"G09-02362-1",10/8/09,1017,"American Red Cross Pitt County","PITT","I-SHP","PKUP",203,35.14
"G09-02358-1",10/8/09,1385,"St. Paul's Episcopal Church","PITT","I-SHP","PKUP",215,0
"R09-06876-1",10/8/09,1200,"Raleigh Vineyard Christian","WAKE","I-SHP","PKUP",226,35.57
"D09-03309-1",10/8/09,1324,"Freedom House/ Durham Houses","DURHAM","I-SHP","PKUP",229,41.22
"D09-03310-1",10/8/09,1338,"St. James of Durham","DURHAM","I-SHP","PKUP",243,37.1
"S09-02396-1",10/8/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",246,18
"S09-02398-1",10/8/09,1673,"Tabernacle Full Gospel","RICHMOND","I-SHP","PKUP",250,31.5
"R09-06857-1",10/8/09,344,"Western Wake Crisis Ministry","WAKE","I-SHP","PKUP",262,47.16
"D09-03304-1",10/8/09,1246,"Rise and Shine Ministries","DURHAM","I-SHP","PKUP",286,73.97
"S09-02400-1",10/8/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",287,51.66
"S09-02405-1",10/8/09,1570,"St. Paul Lutheran- Hamlet","RICHMOND","I-SHP","PKUP",298,29.16
"G09-02361-1",10/8/09,1223,"Bibleway Church of God in","LENOIR","I-SHP","PKUP",308,33.78
"D09-03315-1",10/8/09,1455,"BP - Communities in Schools of","DURHAM","I-SHP","PKUP",319,222.82
"D09-03316-1",10/8/09,436,"Christian Assembly Emergency","DURHAM","I-SHP","PKUP",327,8.5
"R09-06866-1",10/8/09,1226,"Chatham County Group Homes","CHATHAM","I-SHP","PKUP",360,14.76
"R09-06848-1",10/8/09,1508,"Community of Hope Ministries","WAKE","I-SHP","PKUP",362,30.24
"S09-02406-1",10/8/09,1209,"Prayer and Faith Temple Church","RICHMOND","I-SHP","PKUP",367,0
"W09-01503-1",10/8/09,"WL371","Meals on Wheels","NEWHANOVER","I-PKUP","PKUP",392,0
"D09-03306-1",10/8/09,75,"Inter-Faith Council/","ORANGE","I-SHP","PKUP",403,149.19
"R09-06864-1",10/8/09,1206,"Chatham County Group Homes","CHATHAM","I-SHP","PKUP",410,20.52
"D09-03300-1",10/8/09,943,"Pentecostal Victory Temple","CHATHAM","I-TEFB","PKUP",427,0
"R09-06863-1",10/8/09,424,"Bread Basket/Sanford Soup","LEE","I-SHP","PKUP",464,51.48
"R09-06865-1",10/8/09,1225,"Chatham County Group Homes","CHATHAM","I-SHP","PKUP",492,65.87
"W09-01501-1",10/8/09,"WL420","KC - Community Boys & Girls","BRUNSWICK","I-SHP","PKUP",492,122.77
"R09-06875-1",10/8/09,1234,"Progressive Teamwork Outreach","WAKE","I-SHP","PKUP",507,56.34
"S09-02387-1",10/8/09,72,"RHA Health Services, Inc. -","MOORE","I-SHP","PKUP",554,64.62
"W09-01497-1",10/8/09,"WL336","Ashley Center","NEWHANOVER","I-SHP","PKUP",558,90.4
"R09-06855-1",10/8/09,505,"Church Of God Of Prophecy","WAKE","I-SHP","PKUP",613,31.5
"R09-06849-1",10/8/09,686,"Immanuel Temple SDA church","DURHAM","I-SHP","PKUP",634,27.72
"G09-02356-1",10/8/09,269,"Wilson County Interfaith","WILSON","I-SHP","PKUP",659,79.74
"D09-03298-1",10/8/09,920,"Haw River Baptist Church","CHATHAM","I-TEFB","PKUP",672,0
"R09-06856-1",10/8/09,1104,"Angier Area Food Pantry","HARNETT","I-SHP","PKUP",682,100.26
"S09-02386-1",10/8/09,668,"Outreach for Jesus","RICHMOND","I-SHP","PKUP",688,13.68
"W09-01499-1",10/8/09,"WL378","Community Boys & Girls Club","NEWHANOVER","I-SHP","PKUP",701,117.38
"S09-02385-1",10/8/09,1345,"Mission Agape","MOORE","I-SHP","PKUP",799,77.4
"W09-01494-1",10/8/09,"WL289","Wrightsboro United Methodist","NEWHANOVER","I-SHP","PKUP",810,156.05
"R09-06871-1",10/8/09,1470,"My Father's House","HALIFAX","I-SHP","PKUP",852,57.6
"R09-06877-1",10/8/09,1343,"Flowing Waters World Outreach","JOHNSTON","I-SHP","PKUP",880,59.76
"D09-03305-1",10/8/09,1327,"Pine Grove Baptist Church","GRANVILLE","I-SHP","PKUP",972,61.74
"S09-02408-1",10/8/09,134,"Page United Methodist Church","MOORE","I-SHP","PKUP",1000,0
"R09-06854-1",10/8/09,1145,"Joseph's Hand","WAKE","I-SHP","PKUP",1061,92.62
"R09-06859-1",10/8/09,263,"Brooks Avenue Church of Christ","WAKE","I-SHP","PKUP",1174,170.73
"R09-06850-1",10/8/09,602,"Potter's Wheel Ministries","DUPLIN","I-SHP","PKUP",1232,87.91
"D09-03303-1",10/8/09,1070,"Grace and Peace Tabernacle","ORANGE","I-SHP","PKUP",1292,359.87
"R09-06852-1",10/8/09,1591,"Knightdale Church of God","WAKE","I-SHP","PKUP",1364,144.54
"S09-02389-1",10/8/09,668,"Outreach for Jesus","RICHMOND","I-TEFB","PKUP",1369,0
"S09-02384-1",10/8/09,1267,"Highfalls United Methodist","MOORE","I-SHP","PKUP",1393,76.68
"R09-06844-1",10/8/09,612,"Alston Chapel United Holy","CHATHAM","I-TEFB","PKUP",1474,0
"D09-03301-1",10/8/09,1327,"Pine Grove Baptist Church","GRANVILLE","I-TEFB","PKUP",1474,0
"R09-06874-1",10/8/09,1343,"Flowing Waters World Outreach","JOHNSTON","I-TEFR","PKUP",1499,0
"S09-02393-1",10/8/09,1405,"Grace Community Center -","MOORE","I-SHP","PKUP",1548,42.66
"W09-01498-1",10/8/09,"WL297","Upper Room Praise &","NEWHANOVER","I-SHP","PKUP",1588,247.85
"G09-02363-1",10/8/09,1558,"East Coast Church, Inc.","CARTERET","I-SHP","PKUP",1589,317.43
"R09-06851-1",10/8/09,617,"Inter-Community Council -","WAKE","I-SHP","PKUP",1626,201.7
"W09-01493-1",10/8/09,"WL114","Mother Hubbard's Cupboard","NEWHANOVER","I-SHP","PKUP",1637,748.13
"S09-02407-1",10/8/09,1209,"Prayer and Faith Temple Church","RICHMOND","I-TEFB","PKUP",1734,0
"S09-02388-1",10/8/09,1673,"Tabernacle Full Gospel","RICHMOND","I-SHP","PKUP",2000,67.14
"D09-03297-1",10/8/09,708,"First Baptist Church","GRANVILLE","I-TEFB","PKUP",2492,0
"D09-03317-1",10/8/09,1515,"The River","DURHAM","I-SHP","PKUP",2570,331.14
"R09-06870-1",10/8/09,196,"Word of Faith","DUPLIN","I-SHP","PKUP",2665,2.34
"D09-03311-1",10/8/09,1217,"St. Julia Catholic Church","CHATHAM","I-DEL","BRN",2674,0
"R09-06858-1",10/8/09,192,"Gethsemane 7th Day","WAKE","I-SHP","PKUP",2685,117.4
"W09-01495-1",10/8/09,"WL269","Brunswick Island Baptist","BRUNSWICK","I-SHP","PKUP",2722,367.88
"R09-06862-1",10/8/09,1342,"White Oak Foundation","WAKE","I-SHP","PKUP",2808,107.02
"R09-06873-1",10/8/09,1397,"God's Vision Ministries","FRANKLIN","I-TEFR","PKUP",3139,0
"D09-03295-1",10/8/09,413,"Chatham Out-Reach Alliance","CHATHAM","I-TEFB","PKUP",4213,0
"G09-02354-1",10/8/09,1146,"Queen Street United Methodist","LENOIR","I-MFP","MFP",4426,0
"D09-03296-1",10/8/09,680,"Cotton Memorial Presbyterian","VANCE","I-TEFB","PKUP",4699,0
"D09-03293-1",10/8/09,38,"Area Congregations in Ministry","GRANVILLE","I-TEFB","PKUP",4981,0
"R09-06872-1",10/8/09,1397,"God's Vision Ministries","FRANKLIN","I-SHP","PKUP",5074,117.94
"G09-02355-1",10/8/09,1207,"St. Paul Church of Christ/","WILSON","I-MFP","MFP",5211,0
"G09-02360-1",10/8/09,919,"Positive Generation in Christ","EDGECOMBE","I-MFP","MFP",5395,0
"R09-06861-1",10/8/09,848,"Community Helpers Service","WAKE","I-SHP","PKUP",6400,0
"D09-03294-1",10/8/09,669,"CAARE, Inc.","DURHAM","I-TEFB","PKUP",6530,0
"S09-02402-1",10/8/09,280,"Sandhills - Moore Coalition","MOORE","I-SAN","PKUP",6880,557.94
"R09-06867-1",10/8/09,533,"Faith Baptist Church/","FRANKLIN","I-DLS","FBNC",7120,0
"W09-01502-1",10/8/09,"DI021","Direct Dist. -- New Hanover","NEWHANOVER","I-PKUP","PKUP",7377,0
"R09-06868-1",10/8/09,196,"Word of Faith","DUPLIN","I-TEFR","PKUP",9434,0
"R09-06879-1",10/10/09,1625,"Wilson Praise & Worship Church","WILSON","I-DEL","FBNC",6926,0
"D09-03329-1",10/12/09,34,"Durham Exchange Club","DURHAM","I-SHP","PKUP",19,3.42
"D09-03318-1",10/12/09,1689,"Durham County Health Depart.","DURHAM","I-SHP","BRN",27,4.86
"G09-02540-1",10/12/09,1577,"Project Anna, Inc.","PITT","I-TEFB","PKUP",40,0
"D09-03320-1",10/12/09,1529,"New Opportunities Second","DURHAM","I-SHP","BRN",77,13.86
"D09-02898-1",10/12/09,1497,"Bethlehem Temple Apostolic--","DURHAM","I-SHP","PKUP",87,15.66
"D09-03325-1",10/12/09,1307,"Young Memorial United Holy","VANCE","I-SHP","PKUP",95,0
"D09-03322-1",10/12/09,1587,"Just For Us","DURHAM","I-SHP","PKUP",118,16.2
"R09-06912-1",10/12/09,1505,"Wendell United Methodist","WAKE","I-SHP","PKUP",136,0
"S09-02410-1",10/12/09,161,"Bethesda, Inc.","MOORE","I-SHP","PKUP",156,23.04
"W09-01504-1",10/12/09,"WL211","Cape Fear Presbyterian Church","NEWHANOVER","I-SHP","PKUP",157,28.26
"D09-03328-1",10/12/09,34,"Durham Exchange Club","DURHAM","I-SHP","PKUP",213,20.34
"R09-06917-1",10/12/09,1311,"North Haven Church","WAKE","I-SHP","PKUP",215,0
"D09-03319-1",10/12/09,1246,"Rise and Shine Ministries","DURHAM","I-SHP","BRN",266,47.88
"S09-02418-1",10/12/09,1360,"Mental Health Association","MOORE","I-SHP","PKUP",282,23.04
"G09-02374-1",10/12/09,"DI011","Direct Distr. -- Pitt County","PITT","I-PKUP","PKUP",307,0
"W09-01507-1",10/12/09,"WL394","KC - Wilmington Residential","NEWHANOVER","I-SHP","PKUP",316,435.43
"S09-02417-1",10/12/09,1359,"Mental Health Association","RICHMOND","I-SHP","PKUP",353,43.02
"S09-02415-1",10/12/09,181,"Pinebluff United Methodist Men","MOORE","I-SHP","PKUP",383,48.74
"D09-03327-1",10/12/09,680,"Cotton Memorial Presbyterian","VANCE","I-SHP","PKUP",389,29.7
"G09-02375-1",10/12/09,"DI011","Direct Distr. -- Pitt County","PITT","I-PKUP","PKUP",391,0
"R09-06909-1",10/12/09,1076,"Western Assembly Church of","JOHNSTON","I-TEFR","PKUP",427,0
"R09-06880-1",10/12/09,1577,"Project Anna, Inc.","PITT","I-TEFB","PKUP",427,0
"S09-02420-1",10/12/09,1518,"First Missionary Baptist","MOORE","I-SHP",,440,19.26
"W09-01509-1",10/12/09,"WL381","Immaculate Conception Church","NEWHANOVER","I-SHP","PKUP",460,69.21
"R09-06902-1",10/12/09,1262,"A Touch From Above Faith","JOHNSTON","I-SHP","PKUP",467,5.4
"W09-01510-1",10/12/09,"WL398","BP - Cape Fear Elementary","PENDER","I-SHP","PKUP",478,385.6
"D09-03324-1",10/12/09,1307,"Young Memorial United Holy","VANCE","I-SHP","PKUP",487,42.66
"R09-06899-1",10/12/09,1597,"Kenly Church of God","WILSON","I-SHP","PKUP",584,18.44
"R09-06888-1",10/12/09,1387,"Family Circle Elder Care","WAKE","I-SHP","PKUP",588,118.54
"R09-06894-1",10/12/09,1600,"The Word Became Flesh","WILSON","I-SHP","PKUP",610,34.3
"R09-06896-1",10/12/09,1590,"W.E.B. Dubois CDC","WAKE","I-SHP","PKUP",614,0
"D09-03323-1",10/12/09,820,"Durham Rescue Mission's","DURHAM","I-SHP","PKUP",629,59.22
"S09-02413-1",10/12/09,1211,"Southern Pines UMC","MOORE","I-SHP","PKUP",633,173.41
"R09-06910-1",10/12/09,207,"United Community Ministries","NASH","I-SHP","PKUP",644,74.74
"R09-06895-1",10/12/09,1313,"An Open Door CDC","WAYNE","I-SHP","PKUP",723,40.5
"G09-02376-1",10/12/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-SHP","PKUP",770,138.6
"R09-06903-1",10/12/09,859,"Shiloh Missionary Baptist Ch","HALIFAX","I-SHP","PKUP",838,405.14
"D09-03321-1",10/12/09,1275,"Asbury Temple United Methodist","DURHAM","I-SHP","PKUP",873,179.11
"D09-03326-1",10/12/09,1620,"Just a Clean House","DURHAM","I-SHP","PKUP",947,26.46
"R09-06907-1",10/12/09,1647,"KC - New Vision Christian","SAMPSON","I-SHP","PKUP",958,581.76
"S09-02412-1",10/12/09,1321,"Emmanuel Ministries Church","RICHMOND","I-TEFB","PKUP",974,0
"S09-02414-1",10/12/09,1321,"Emmanuel Ministries Church","RICHMOND","I-SHP","PKUP",1069,419.29
"R09-06905-1",10/12/09,1506,"Basic Needs Ministry","JOHNSTON","I-SHP","PKUP",1079,22.04
"G09-02365-1",10/12/09,1349,"Pentecostal Temple","PITT","I-TEFB","PKUP",1089,0
"W09-01508-1",10/12/09,"WL294","Trinity Tabernacle Full","BRUNSWICK","I-SHP","PKUP",1266,188.66
"G09-02366-1",10/12/09,773,"Antioch United Holy Church","PITT","I-TEFB","PKUP",1280,0
"R09-06906-1",10/12/09,1506,"Basic Needs Ministry","JOHNSTON","I-TEFR","PKUP",1313,0
"S09-02416-1",10/12/09,956,"Aberdeen Community Club, Inc.","MOORE","I-SHP","PKUP",1356,32.94
"R09-06890-1",10/12/09,965,"Mt. Carmel Church of God","HALIFAX","I-SHP","PKUP",1529,153.72
"G09-02367-1",10/12/09,1297,"Lebonon United Methodist Churc","GREENE","I-TEFB","PKUP",1578,0
"R09-06889-1",10/12/09,1339,"Franklin County Volunteers in","FRANKLIN","I-SHP","PKUP",1641,117.02
"R09-06897-1",10/12/09,1590,"W.E.B. Dubois CDC","WAKE","I-TEFR","PKUP",1827,0
"W09-01505-1",10/12/09,"WL332","Southport Oak Island Interchur","BRUNSWICK","I-SHP","PKUP",1844,230.4
"R09-06908-1",10/12/09,1076,"Western Assembly Church of","JOHNSTON","I-SHP","PKUP",1955,168.14
"R09-06900-1",10/12/09,10,"Care and Share, Inc.","FRANKLIN","I-SHP","PKUP",2128,338.62
"G09-02368-1",10/12/09,1277,"First United Methodist Church","ONSLOW","I-TEFB","PKUP",2581,0
"R09-06887-1",10/12/09,775,"Bread of Life","WAKE","I-SHP","PKUP",3079,396.9
"D09-03330-1",10/12/09,"DI090","Gaines Chapel AME Church","ORANGE","I-DEL","BRN",3414,0
"R09-06892-1",10/12/09,848,"Community Helpers Service","WAKE","I-SHP","PKUP",3572,209.71
"R09-06891-1",10/12/09,542,"Capital City Christian Church","WAKE","I-SHP","PKUP",3763,481.72
"G09-02373-1",10/12/09,893,"Onslow Community Ministries","ONSLOW","I-MFP","MFP",4344,0
"R09-06918-1",10/12/09,12,"Catholic Parish Outreach","WAKE","I-DLS","FBNC",4378,73.8
"R09-06901-1",10/12/09,10,"Care and Share, Inc.","FRANKLIN","I-TEFR","PKUP",4413,0
"G09-02369-1",10/12/09,1220,"Greene County Interfaith","GREENE","I-TEFB","PKUP",4460,0
"R09-06920-1",10/12/09,894,"Pete Norris Ministries Inc.","WAYNE","I-DLS","FBNC",4815,0
"D09-03331-1",10/12/09,"DI055","Elliot Woods","ORANGE","I-DEL","BRN",4843,0
"G09-02370-1",10/12/09,951,"White Oak Ecumenical","ONSLOW","I-TEFB","PKUP",4935,0
"R09-06921-1",10/12/09,1396,"Milagros y Maravillas de Dios","JOHNSTON","I-DLS","FBNC",5963,0
"G09-02371-1",10/12/09,1577,"Project Anna, Inc.","PITT","I-MFP","MFP",5991,0
"G09-02372-1",10/12/09,1520,"Faith Tabernacle of Praise","CARTERET","I-MFP","MFP",6696,0
"R09-06886-1",10/12/09,692,"Glad Tidings Gospel Church","WILSON","I-DLS","FBNC",6775,0
"R09-06919-1",10/12/09,1682,"Greater Joy Missionary Baptist","NASH","I-DLS","FBNC",7993,0
"R09-06878-1",10/12/09,12,"Catholic Parish Outreach","WAKE","I-TEFR","FBNC",20617,0
"R09-06957-1",10/13/09,1249,"Faith Missionary Baptist",,,,0,0
"G09-02384-1",10/13/09,438,"Victory Deliverance Ctr","PITT","I-SHP","PKUP",21,3.5
"R09-06974-1",10/13/09,132,"Upper Room Church of God","WAKE","I-SHP","PKUP",75,0
"R09-06929-1",10/13/09,295,"Oxford Group Home","GRANVILLE","I-DLS","FBNC",79,21.39
"R09-06930-1",10/13/09,294,"Franklin County Group Home","FRANKLIN","I-DLS","FBNC",86,15.48
"R09-06923-1",10/13/09,935,"William Hawkins Yth Ministries","VANCE","I-DLS","FBNC",88,7.92
"D09-03333-1",10/13/09,684,"Housing for New Hope/","DURHAM","I-SHP","PKUP",105,0
"G09-02390-1",10/13/09,1157,"Building Hope Community Life","PITT","I-SHP","PKUP",114,16.5
"G09-02379-1",10/13/09,986,"Bread of Life/Grifton","PITT","I-SHP","PKUP",129,22.58
"R09-06928-1",10/13/09,289,"Vance-Adult Group Home","VANCE","I-DLS","FBNC",138,32.41
"D09-03335-1",10/13/09,835,"Positive Directions-","VANCE","I-SHP","PKUP",141,5.22
"W09-01518-1",10/13/09,"WL377","Child Advocacy Commission","NEWHANOVER","I-SHP","PKUP",143,17.28
"R09-06931-1",10/13/09,290,"Roanoke Ave. Group Home","VANCE","I-DLS","FBNC",148,18.72
"G09-02435-1",10/13/09,1644,"KC - The Mighty Tau, Inc.","CRAVEN","I-DEL","BRN",149,114.99
"W09-01519-1",10/13/09,"WL334","SEARISE","NEWHANOVER","I-SHP","PKUP",168,20.52
"W09-01512-1",10/13/09,"WL429","Full Circle Ministry","NEWHANOVER","I-SHP","PKUP",176,24.94
"R09-06985-1",10/13/09,629,"Resources For Seniors","WAKE","I-SHP","PKUP",181,20.44
"R09-06975-1",10/13/09,1522,"Bethel African Methodist","JOHNSTON","I-SHP","PKUP",195,35.1
"D09-03341-1",10/13/09,1643,"Calvary UMC","DURHAM","I-SHP","PKUP",197,36.57
"S09-02432-1",10/13/09,1631,"Wesleyan Methodist Church","MOORE","I-SHP","PKUP",212,20.16
"S09-02424-1",10/13/09,625,"Bethesda Presbyterian Church","MOORE","I-SHP","PKUP",245,40.86
"R09-06962-1",10/13/09,1183,"Communities in Schools of Wake","WAKE","I-SHP","PKUP",275,0
"S09-02430-1",10/13/09,520,"Port Human Services","MOORE","I-SHP","PKUP",287,37.26
"W09-01515-1",10/13/09,"WL421","CIS Wire Program","NEWHANOVER","I-SHP","PKUP",292,2.16
"W09-01517-1",10/13/09,"WL125","Stepping Stone Manor","NEWHANOVER","I-SHP","PKUP",299,45.88
"G09-02685-1",10/13/09,1633,"KC - Mt. Carmel Inc. - HELPS","ONSLOW","I-SHP","PKUP",300,678.1
"R09-06933-1",10/13/09,1050,"Brookston Baptist Church","VANCE","I-DLS","FBNC",314,41.56
"G09-02385-1",10/13/09,155,"Philippi Church of Christ","PITT","I-SHP","PKUP",317,57.06
"R09-06965-1",10/13/09,837,"KC - Homework Haven","WAKE","I-SHP","PKUP",335,90.35
"R09-06969-1",10/13/09,27,"Day by Day Treatment Center","JOHNSTON","I-SHP","PKUP",342,48.93
"R09-06924-1",10/13/09,165,"Shiloh Baptist Church","VANCE","I-DLS","FBNC",342,54.09
"R09-06927-1",10/13/09,765,"Mt. Zion Christian Church/","VANCE","I-DLS","FBNC",346,43.79
"D09-03338-1",10/13/09,1098,"Seed Time&Harvest Fellowship","DURHAM","I-SHP","PKUP",363,32.58
"R09-06949-1",10/13/09,137,"Tri-Area Ministry","WAKE","I-SHP","PKUP",364,16.74
"D09-03353-1",10/13/09,1464,"Ark of Safety Outreach --","DURHAM","I-SHP","PKUP",368,14.64
"G09-02380-1",10/13/09,"DI011","Direct Distr. -- Pitt County","PITT","I-PKUP","PKUP",374,0
"R09-06952-1",10/13/09,19,"Clayton Area Ministries","JOHNSTON","I-SHP","PKUP",387,92.95
"R09-06984-1",10/13/09,493,"Martin Street Baptist Church","WAKE","I-SHP","PKUP",390,53.82
"R09-06932-1",10/13/09,463,"Lifeline Outreach, INC.","VANCE","I-DLS","FBNC",408,26.28
"R09-06934-1",10/13/09,387,"First Assembly of God Church","WAYNE","I-TEFR","FBNC",415,0
"D09-03336-1",10/13/09,998,"Alliance of AIDS Services-","DURHAM","I-SHP","PKUP",421,87.15
"R09-06936-1",10/13/09,245,"Salvation Army-Goldsboro","WAYNE","I-TEFR","FBNC",427,0
"R09-06937-1",10/13/09,932,"Body of Christ Ministry","LEE","I-TEFR","FBNC",427,0
"D09-03340-1",10/13/09,1265,"Alliance Rehabilitative Care","VANCE","I-SHP","PKUP",429,78.9
"R09-06911-1",10/13/09,108,"Salvation Army-Henderson","VANCE","I-TEFR","FBNC",442,0
"R09-06926-1",10/13/09,507,"Big Ruin Creek Baptist","VANCE","I-DLS","FBNC",474,109.66
"R09-06922-1",10/13/09,309,"Wallace Church of God","DUPLIN","I-DLS","FBNC",520,53.08
"G09-02381-1",10/13/09,1408,"Word of God Christian Center","CRAVEN","I-SHP","PKUP",522,93.96
"R09-06948-1",10/13/09,627,"Resources for Seniors","WAKE","I-SHP","PKUP",529,88.58
"D09-03339-1",10/13/09,872,"Warren Street Group Home","WARREN","I-SHP","PKUP",537,141.37
"D09-03342-1",10/13/09,839,"Oak Grove UAFree Will Baptist","DURHAM","I-SHP","PKUP",590,121.46
"R09-06977-1",10/13/09,1086,"The Fuquay-Varina Emergency","WAKE","I-SHP","PKUP",601,28.66
"S09-02436-1",10/13/09,595,"Pentecostal Assembly","MOORE","I-SHP","PKUP",640,64.8
